ssid,bssid,dBm,ntp
b'3715',a4:2b:b0:d2:4c:06,-79,1569986221.465,2
b'IoT Project AP',c4:6e:1f:c1:96:5c,-41,1569986221.561,2
b'corega',00:0a:79:b1:c4:e1,-63,1569986222.083,3
b'3715',a4:2b:b0:d2:4c:06,-78,1569986222.149,3
b'IoT Project AP',c4:6e:1f:c1:96:5c,-39,1569986222.244,3
b'corega',00:0a:79:b1:c4:e1,-64,1569986222.294,3
b'3715',a4:2b:b0:d2:4c:06,-79,1569986222.413,3
b'IoT Project AP',c4:6e:1f:c1:96:5c,-41,1569986222.497,4
b'corega',00:0a:79:b1:c4:e1,-63,1569986222.763,4
b'3715',a4:2b:b0:d2:4c:06,-79,1569986222.822,4
b'Lab_3714_Wi-Fi',60:e3:27:eb:cf:44,-60,1569986222.947,5
b'I_love_Ghliaw-239',c4:6e:1f:c1:a8:6e,-51,1569986223.006,5
"b""GHLiaw's Printer""",a4:2b:b0:d2:63:b2,-52,1569986223.064,5
b'dlink-3815',40:9b:cd:a4:26:a8,-76,1569986223.136,5
b'I_LOVE_GHliaw-232',90:f6:52:b3:d1:dc,-44,1569986223.215,5
b'IoT Project AP',c4:6e:1f:c1:96:5c,-44,1569986223.337,6
b'I_LOVE_GHliaw-232',90:f6:52:b3:d1:dc,-43,1569986223.409,6
b'3715',a4:2b:b0:d2:4c:06,-78,1569986223.678,6
b'IoT Project AP',c4:6e:1f:c1:96:5c,-42,1569986223.781,7
b'corega',00:0a:79:b1:c4:e1,-63,1569986223.837,7
b'3715',a4:2b:b0:d2:4c:06,-77,1569986223.900,7
b'IoT Project AP',c4:6e:1f:c1:96:5c,-41,1569986224.023,7
b'IoT Project AP',c4:6e:1f:c1:96:5c,-40,1569986224.132,8
b'TELLO-D8687F',60:60:1f:d8:68:7f,-79,1569986224.184,8
b'corega',00:0a:79:b1:c4:e1,-62,1569986224.235,8
b'IoT Project AP',c4:6e:1f:c1:96:5c,-40,1569986224.312,8
b'TP-LINK MSCLAB',f4:f2:6d:9b:56:98,-70,1569986224.608,9
b'ASUS',70:8b:cd:b3:a4:28,-87,1569986224.940,9
b'HP85FC71',78:ac:c0:85:fc:71,-67,1569986224.992,10
b'TP-LINK MSCLAB',f4:f2:6d:9b:56:98,-67,1569986225.035,10
b'HP85FC71',78:ac:c0:85:fc:71,-67,1569986225.416,11
b'LORAgw',1c:49:7b:f2:70:98,-48,1569986225.728,11
